ca-ES;Nom;Nom
ca-ES;Cognoms;Cognoms
ca-ES;Adreca;Carrer
ca-ES;CodiPostal;Codi Postal
ca-ES;Pais;País
ca-ES;Nacionalidad:Nacionalitat
ca-ES;NIF;NIF
ca-ES;email;E-Mail
ca-ES;NickSkype;Skype NickName
ca-ES;Telefon;Telèfon
ca-ES;Naixament;Data Naixament
ca-ES;Ciutat;Ciutat
ca-ES;Provincia;Provincia
es-ES;Nom;Nom
es-ES;Cognoms;Cognoms
es-ES;Adreca;Carrer
es-ES;CodiPostal;Codi Postal
es-ES;Pais;País
es-ES;Nacionalidad:Nacionalitat
es-ES;NIF;NIF
es-ES;email;E-Mail
es-ES;NickSkype;Skype NickName
es-ES;Telefon;Telèfon
es-ES;Naixament;Data Naixament
es-ES;Ciutat;Ciutat
es-ES;Provincia;Provincia
en-GB;Nom;Name
en-GB;Cognoms;Surnames
en-GB;Adreca;Street
en-GB;CodiPostal;Postal Code
en-GB;Pais;Country
en-GB;Nacionalidad:Nacionality
en-GB;NIF;Identity Card Number
en-GB;email;E-Mail
en-GB;NickSkype;Skype's NickName
en-GB;Telefon;Phone
en-GB;Naixament;Birth Date
en-GB;Ciutat;City
en-GB;Provincia;Province